downside_risk_rank,amfi_code,scheme_name,fund_house,category,var_95_pct,cvar_95_pct,total_trading_days
1,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-2.39,-3.03,1607
2,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,-2.33,-2.97,1607
3,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,-2.32,-3.02,1607
4,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,-2.28,-2.99,1607
5,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,-2.15,-2.84,1607
6,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,-2.15,-2.86,1607
7,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,-1.7,-2.24,1607
8,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-1.69,-2.18,1607
9,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,-1.69,-2.13,1607
10,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,-1.69,-2.18,1607
11,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,-1.68,-2.15,1607
12,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,-1.62,-2.24,1607
13,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,-1.59,-2.09,1607
14,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,-1.53,-1.99,1607
15,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,-1.37,-1.8,1607
16,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,-1.33,-1.71,1607
17,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,-1.33,-1.74,1607
18,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,-1.3,-1.78,1607
19,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,-1.3,-1.7,1607
20,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,-1.29,-1.68,1607
21,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,-1.27,-1.62,1607
22,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,-1.26,-1.63,1607
23,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,-1.26,-1.63,1607
24,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,-1.25,-1.62,1607
25,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,-1.25,-1.7,1607
26,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,-1.23,-1.63,1607
27,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,-1.22,-1.61,1607
28,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,-1.21,-1.61,1607
29,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,-1.21,-1.61,1607
30,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,-1.21,-1.55,1607
31,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,-1.18,-1.52,1607
32,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,-1.17,-1.52,1607
33,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,-1.1,-1.49,1607
34,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,-1.1,-1.44,1607
35,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,-0.34,-0.46,1607
36,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,-0.33,-0.46,1607
37,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,-0.33,-0.45,1607
38,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,-0.02,-0.04,1607
39,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,-0.02,-0.04,1607
40,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,-0.02,-0.03,1607
